item name,size,colour,shape,status
Pomegranate,medium,vibrant,round,fertilized
Apple,medium,neutral,oval,organic
Carrot,medium,neutral,oval,fertilized
Garlic,medium,vibrant,round,fertilized
Pomegranate,large,vibrant,round,fertilized
Mango,large,vibrant,oval,fertilized
Onion,medium,neutral,oval,organic
Garlic,medium,neutral,oval,fertilized
Carrot,medium,vibrant,round,fertilized
Grapes,small,dull,oval,organic
Brinjal,medium,dull,round,organic
Garlic,medium,neutral,oval,organic
Sapota,small,vibrant,round,fertilized
Papaya,medium,dull,oval,organic
Orange,large,irregular,elongated,fertilized
Sapota,large,dull,oval,organic
Beetroot,medium,neutral,round,fertilized
Grapes,medium,dull,round,fertilized
Beetroot,large,vibrant,oval,fertilized
Carrot,small,vibrant,round,organic
Garlic,medium,dull,round,organic
Garlic,large,vibrant,oval,fertilized
Brinjal,large,irregular,oval,fertilized
Beetroot,medium,neutral,round,organic
Brinjal,large,vibrant,oval,fertilized
Mango,medium,irregular,elongated,organic
Carrot,large,vibrant,round,fertilized
Papaya,medium,neutral,elongated,organic
Papaya,large,vibrant,oval,fertilized
Papaya,small,vibrant,round,fertilized
Grapes,medium,vibrant,oval,organic
Onion,medium,dull,irregular,organic
Orange,large,vibrant,round,fertilized
Carrot,large,vibrant,round,fertilized
Ivy gourd,large,vibrant,round,fertilized
Pomegranate,small,dull,elongated,organic
Mango,medium,irregular,round,organic
Onion,large,vibrant,irregular,fertilized
Banana,large,neutral,oval,fertilized
Papaya,large,vibrant,irregular,fertilized
Banana,large,vibrant,oval,fertilized
Garlic,large,neutral,round,fertilized
Grapes,medium,vibrant,round,fertilized
Onion,small,neutral,oval,organic
Onion,small,dull,irregular,organic
Onion,medium,vibrant,oval,fertilized
Papaya,medium,vibrant,round,fertilized
Orange,small,neutral,elongated,organic
Sapota,medium,vibrant,oval,organic
Banana,medium,vibrant,round,fertilized
Apple,medium,neutral,round,organic
Brinjal,large,neutral,oval,fertilized
Orange,small,dull,irregular,organic
Papaya,small,neutral,round,organic
Sapota,medium,irregular,oval,fertilized
Onion,small,dull,round,organic
Banana,large,vibrant,oval,fertilized
Papaya,large,vibrant,round,fertilized
Onion,large,irregular,oval,fertilized
Brinjal,small,vibrant,irregular,fertilized
Carrot,medium,vibrant,elongated,fertilized
Sapota,small,dull,round,organic
Pomegranate,large,dull,round,organic
Mango,large,irregular,oval,fertilized
Onion,medium,dull,oval,organic
Ivy gourd,medium,vibrant,oval,organic
Carrot,medium,vibrant,round,organic
Beetroot,small,dull,irregular,organic
Mango,medium,neutral,oval,organic
Grapes,medium,dull,round,fertilized
Guava,large,vibrant,round,fertilized
Papaya,medium,dull,round,organic
Carrot,large,dull,round,organic
Orange,small,dull,oval,organic
Mango,large,vibrant,round,fertilized
Guava,medium,neutral,elongated,organic
Guava,medium,irregular,round,organic
Mango,large,vibrant,irregular,organic
Sapota,small,neutral,irregular,organic
Beetroot,small,dull,elongated,organic
Mango,medium,irregular,oval,fertilized
Papaya,medium,neutral,irregular,organic
Banana,medium,neutral,irregular,organic
Ivy gourd,small,dull,oval,organic
Onion,large,dull,round,organic
Carrot,large,vibrant,elongated,organic
Banana,large,vibrant,irregular,fertilized
Beetroot,large,dull,oval,fertilized
Mango,medium,neutral,round,organic
Ivy gourd,medium,vibrant,oval,fertilized
Onion,medium,neutral,oval,fertilized
Garlic,medium,vibrant,oval,fertilized
Pomegranate,large,dull,oval,organic
Apple,small,neutral,oval,organic
Brinjal,medium,vibrant,round,fertilized
Sapota,small,dull,irregular,organic
Brinjal,medium,dull,irregular,organic
Beetroot,large,vibrant,round,fertilized
Orange,large,dull,irregular,organic
Banana,large,vibrant,oval,fertilized
Onion,large,dull,irregular,organic
Mango,large,vibrant,round,fertilized
Sapota,large,dull,oval,fertilized
Guava,medium,dull,irregular,organic
Apple,medium,dull,irregular,fertilized
Grapes,large,vibrant,round,fertilized
Brinjal,medium,dull,elongated,organic
Brinjal,medium,vibrant,oval,fertilized
Banana,medium,vibrant,oval,fertilized
Pomegranate,medium,vibrant,oval,fertilized
Beetroot,medium,dull,round,organic
Onion,medium,vibrant,irregular,organic
Pomegranate,small,dull,round,organic
Papaya,large,vibrant,irregular,fertilized
Ivy gourd,small,dull,elongated,organic
Grapes,large,irregular,oval,fertilized
Pomegranate,large,irregular,oval,organic
Guava,medium,dull,irregular,organic
Guava,large,dull,oval,fertilized
Grapes,large,neutral,round,fertilized
Mango,large,dull,round,fertilized
Brinjal,small,neutral,irregular,organic
Ivy gourd,large,vibrant,oval,fertilized
Papaya,large,vibrant,irregular,fertilized
Sapota,medium,irregular,oval,organic
Mango,medium,dull,oval,organic
Ivy gourd,large,vibrant,round,fertilized
Onion,large,vibrant,oval,fertilized
Papaya,large,irregular,elongated,fertilized
Ivy gourd,large,vibrant,oval,fertilized
Carrot,small,dull,irregular,organic
Garlic,medium,dull,round,organic
Brinjal,large,dull,irregular,organic
Ivy gourd,medium,irregular,round,organic
Banana,medium,neutral,elongated,organic
Grapes,large,vibrant,oval,fertilized
Papaya,small,vibrant,round,organic
Ivy gourd,large,vibrant,oval,fertilized
Brinjal,medium,neutral,round,organic
Mango,small,neutral,oval,organic
Ivy gourd,medium,vibrant,round,fertilized
Carrot,large,vibrant,oval,organic
Banana,large,vibrant,oval,fertilized
Mango,medium,neutral,round,organic
Brinjal,medium,neutral,oval,fertilized
Guava,medium,dull,irregular,organic
Onion,large,vibrant,irregular,fertilized
Onion,medium,dull,elongated,organic
Orange,medium,vibrant,elongated,organic
Onion,medium,dull,irregular,organic
Sapota,large,irregular,oval,fertilized
Banana,large,vibrant,oval,fertilized
Garlic,medium,dull,irregular,organic
Apple,medium,vibrant,irregular,fertilized
Papaya,small,neutral,elongated,organic
Beetroot,small,dull,oval,fertilized
Mango,medium,vibrant,oval,fertilized
Mango,large,dull,round,fertilized
Onion,medium,dull,oval,organic
Banana,small,neutral,oval,organic
Pomegranate,large,vibrant,elongated,fertilized
Mango,large,vibrant,oval,fertilized
Banana,small,neutral,elongated,organic
Apple,medium,dull,irregular,organic
Pomegranate,small,neutral,irregular,organic
Beetroot,medium,irregular,elongated,organic
Mango,medium,vibrant,round,fertilized
Apple,large,irregular,oval,fertilized
Mango,large,vibrant,round,fertilized
Pomegranate,large,neutral,oval,fertilized
Apple,large,vibrant,oval,fertilized
Ivy gourd,medium,dull,round,organic
Pomegranate,medium,vibrant,irregular,fertilized
Orange,small,neutral,irregular,organic
Brinjal,large,vibrant,round,fertilized
Guava,large,irregular,oval,fertilized
Garlic,medium,dull,round,organic
Onion,small,neutral,round,organic
Banana,medium,dull,elongated,organic
Beetroot,large,dull,elongated,fertilized
Banana,large,vibrant,round,fertilized
Brinjal,small,dull,elongated,organic
Sapota,small,neutral,irregular,organic
Garlic,medium,neutral,irregular,organic
Grapes,large,vibrant,elongated,fertilized
Orange,small,neutral,elongated,organic
Beetroot,large,irregular,round,fertilized
Sapota,large,dull,round,fertilized
Pomegranate,medium,irregular,oval,organic
Pomegranate,medium,dull,irregular,organic
Guava,small,dull,oval,fertilized
Brinjal,large,vibrant,round,fertilized
Grapes,large,irregular,round,fertilized
Garlic,medium,vibrant,oval,fertilized
Grapes,large,dull,irregular,fertilized
Sapota,large,vibrant,oval,fertilized
Banana,large,neutral,oval,organic
Brinjal,medium,dull,round,organic
Grapes,medium,dull,oval,organic
Garlic,medium,vibrant,oval,fertilized
Brinjal,medium,dull,oval,organic
Orange,medium,neutral,round,organic
Grapes,medium,dull,oval,organic
Carrot,medium,vibrant,oval,fertilized
Pomegranate,small,irregular,oval,fertilized
Grapes,large,vibrant,round,fertilized
Garlic,medium,neutral,round,organic
Orange,large,dull,oval,organic
Sapota,small,neutral,oval,organic
Onion,medium,dull,elongated,fertilized
Pomegranate,large,vibrant,round,fertilized
Papaya,large,neutral,irregular,fertilized
Onion,small,dull,elongated,organic
Beetroot,large,vibrant,round,fertilized
Sapota,large,vibrant,elongated,fertilized
Pomegranate,small,dull,oval,organic
Beetroot,small,neutral,irregular,organic
Mango,medium,dull,oval,organic
Onion,small,neutral,irregular,organic
Grapes,medium,irregular,round,fertilized
Orange,medium,dull,round,organic
Ivy gourd,large,irregular,round,fertilized
Guava,medium,vibrant,round,organic
Apple,medium,vibrant,round,fertilized
Sapota,medium,dull,round,organic
Papaya,small,vibrant,irregular,fertilized
Sapota,medium,neutral,oval,organic
Guava,medium,neutral,round,organic
Sapota,small,irregular,oval,organic
Ivy gourd,medium,dull,oval,fertilized
Apple,medium,vibrant,oval,organic
Carrot,medium,vibrant,elongated,organic
Carrot,small,dull,irregular,organic
Garlic,large,vibrant,oval,fertilized
Carrot,medium,neutral,round,organic
Apple,medium,dull,round,organic
Ivy gourd,large,neutral,oval,organic
Carrot,large,vibrant,round,fertilized
Beetroot,medium,vibrant,round,fertilized
Papaya,medium,vibrant,irregular,fertilized
Banana,medium,irregular,oval,organic
Papaya,large,vibrant,oval,fertilized
Mango,small,dull,elongated,organic
Mango,medium,neutral,elongated,organic
Pomegranate,large,neutral,round,fertilized
Papaya,medium,dull,round,organic
Apple,large,vibrant,oval,fertilized
Banana,small,dull,oval,organic
Onion,large,irregular,round,fertilized
Beetroot,large,dull,oval,fertilized
Grapes,small,dull,irregular,organic
Carrot,large,dull,round,fertilized
Orange,medium,vibrant,oval,fertilized
Orange,small,neutral,round,organic
Carrot,large,dull,round,organic
Onion,large,vibrant,oval,fertilized
Brinjal,medium,vibrant,oval,fertilized
Guava,medium,dull,round,organic
Apple,large,vibrant,round,fertilized
Banana,small,neutral,elongated,organic
Carrot,large,vibrant,irregular,fertilized
Onion,large,vibrant,round,fertilized
Papaya,medium,dull,oval,organic
Garlic,small,vibrant,elongated,organic
Carrot,small,dull,oval,organic
Sapota,medium,dull,round,organic
Onion,large,neutral,elongated,organic
Apple,large,dull,round,organic
Grapes,large,dull,elongated,organic
Papaya,small,irregular,elongated,organic
Brinjal,large,neutral,round,fertilized
Banana,large,vibrant,round,fertilized
Garlic,large,vibrant,round,fertilized
Beetroot,small,neutral,elongated,organic
Orange,small,dull,irregular,organic
Beetroot,large,vibrant,oval,fertilized
Beetroot,large,dull,round,organic
Garlic,medium,dull,oval,organic
Papaya,large,neutral,round,fertilized
Grapes,medium,neutral,irregular,organic
Orange,large,vibrant,round,fertilized
Beetroot,large,vibrant,round,fertilized
Mango,medium,vibrant,irregular,organic
Grapes,medium,vibrant,oval,fertilized
Papaya,small,vibrant,oval,organic
Sapota,small,vibrant,elongated,fertilized
Banana,small,dull,elongated,organic
Beetroot,large,vibrant,round,fertilized
Ivy gourd,medium,dull,irregular,organic
Apple,small,neutral,round,organic
Orange,medium,dull,oval,fertilized
Grapes,small,dull,elongated,organic
Sapota,small,vibrant,elongated,fertilized
Carrot,medium,vibrant,oval,fertilized
Orange,large,vibrant,irregular,fertilized
Apple,large,neutral,round,fertilized
Papaya,small,neutral,irregular,organic
Brinjal,small,dull,irregular,organic
Guava,large,vibrant,irregular,fertilized
Guava,medium,vibrant,round,fertilized
Apple,small,vibrant,irregular,organic
Brinjal,medium,irregular,elongated,fertilized
Pomegranate,large,vibrant,round,fertilized
Sapota,small,vibrant,round,fertilized
Mango,small,dull,round,fertilized
Papaya,medium,vibrant,round,fertilized
Mango,medium,neutral,elongated,organic
Ivy gourd,small,neutral,oval,organic
Pomegranate,large,neutral,irregular,fertilized
Garlic,large,dull,round,fertilized
Ivy gourd,large,vibrant,oval,fertilized
Beetroot,large,dull,round,fertilized
Banana,large,vibrant,round,fertilized
Pomegranate,medium,dull,round,organic
Onion,medium,dull,oval,organic
Orange,large,vibrant,oval,fertilized
Orange,large,dull,irregular,organic
Pomegranate,medium,dull,elongated,fertilized
Ivy gourd,small,dull,elongated,organic
Garlic,medium,vibrant,round,organic
Pomegranate,medium,neutral,oval,organic
Sapota,medium,vibrant,oval,organic
Grapes,medium,vibrant,round,organic
Orange,large,dull,elongated,fertilized
Mango,large,dull,round,organic
Grapes,medium,neutral,irregular,organic
Carrot,large,vibrant,oval,fertilized
Carrot,large,vibrant,round,fertilized
Mango,small,neutral,oval,organic
Guava,large,vibrant,oval,fertilized
Mango,medium,dull,oval,organic
Grapes,medium,dull,oval,organic
Onion,small,dull,elongated,organic
Ivy gourd,large,vibrant,oval,fertilized
Sapota,small,irregular,oval,organic
Apple,large,vibrant,round,fertilized
Mango,small,dull,elongated,organic
Brinjal,large,neutral,round,fertilized
Banana,medium,vibrant,oval,fertilized
Guava,medium,neutral,elongated,organic
Mango,small,dull,oval,fertilized
Papaya,large,vibrant,oval,fertilized
Papaya,large,dull,round,organic
Ivy gourd,large,irregular,oval,organic
Apple,medium,vibrant,irregular,fertilized
Pomegranate,large,vibrant,round,fertilized
Guava,large,neutral,round,fertilized
Garlic,large,vibrant,round,fertilized
Carrot,large,neutral,round,organic
Ivy gourd,large,dull,oval,fertilized
Orange,medium,irregular,oval,fertilized
Sapota,large,vibrant,oval,fertilized
Beetroot,small,vibrant,oval,fertilized
Garlic,small,vibrant,irregular,organic
Papaya,small,dull,elongated,organic
Papaya,small,dull,round,organic
Pomegranate,large,vibrant,oval,fertilized
Papaya,small,dull,oval,organic
Grapes,large,irregular,irregular,organic
Sapota,small,neutral,oval,organic
Beetroot,large,irregular,irregular,fertilized
Ivy gourd,small,neutral,round,organic
Apple,medium,neutral,round,organic
Mango,medium,vibrant,elongated,fertilized
Grapes,large,irregular,oval,fertilized
Pomegranate,small,neutral,round,organic
Guava,medium,dull,irregular,organic
Ivy gourd,large,vibrant,round,fertilized
Mango,large,dull,oval,organic
Banana,medium,neutral,irregular,organic
Carrot,large,vibrant,oval,fertilized
Brinjal,small,dull,irregular,organic
Mango,large,vibrant,round,fertilized
Carrot,medium,dull,irregular,fertilized
Garlic,large,vibrant,oval,fertilized
Apple,medium,irregular,round,organic
Beetroot,medium,vibrant,round,fertilized
Beetroot,small,neutral,oval,organic
Pomegranate,medium,dull,round,organic
Orange,medium,vibrant,round,organic
Grapes,large,irregular,round,fertilized
Banana,large,vibrant,irregular,fertilized
Apple,large,vibrant,oval,fertilized
Sapota,small,irregular,round,organic
Beetroot,medium,dull,elongated,organic
Sapota,medium,vibrant,round,fertilized
Garlic,medium,vibrant,round,fertilized
Sapota,medium,dull,elongated,organic
Guava,small,neutral,irregular,organic
Mango,small,vibrant,round,organic
Mango,medium,vibrant,elongated,organic
Grapes,large,vibrant,round,fertilized
Ivy gourd,medium,vibrant,round,fertilized
Brinjal,medium,dull,round,organic
Papaya,medium,neutral,round,organic
Banana,small,dull,round,fertilized
Sapota,medium,dull,round,organic
Papaya,large,vibrant,round,fertilized
Garlic,medium,dull,irregular,organic
Carrot,small,neutral,round,organic
Apple,large,vibrant,irregular,fertilized
Brinjal,medium,dull,elongated,organic
Onion,large,vibrant,irregular,fertilized
Orange,large,vibrant,round,fertilized
Garlic,medium,vibrant,round,fertilized
Apple,medium,dull,round,organic
Grapes,medium,vibrant,elongated,organic
Apple,small,neutral,round,organic
Garlic,small,vibrant,round,organic
Ivy gourd,medium,dull,irregular,organic
Pomegranate,small,vibrant,elongated,organic
Carrot,small,neutral,irregular,fertilized
Orange,large,vibrant,oval,fertilized
Brinjal,small,dull,round,organic
Beetroot,large,vibrant,elongated,fertilized
Apple,medium,neutral,elongated,organic
Garlic,medium,neutral,oval,organic
Orange,medium,dull,irregular,organic
Beetroot,large,vibrant,round,fertilized
Papaya,large,vibrant,oval,fertilized
Onion,medium,neutral,elongated,organic
Carrot,medium,neutral,round,fertilized
Pomegranate,large,vibrant,round,fertilized
Orange,large,irregular,irregular,fertilized
Banana,small,vibrant,irregular,fertilized
Pomegranate,small,neutral,round,organic
Grapes,medium,dull,round,fertilized
Papaya,large,vibrant,round,fertilized
Garlic,large,vibrant,oval,fertilized
Banana,medium,dull,elongated,organic
Brinjal,large,irregular,elongated,fertilized
Orange,medium,vibrant,round,fertilized
Carrot,medium,neutral,round,organic
Orange,large,vibrant,oval,fertilized
Garlic,large,vibrant,elongated,fertilized
Grapes,large,dull,oval,fertilized
Orange,medium,vibrant,round,organic
Apple,medium,vibrant,oval,fertilized
Guava,large,vibrant,oval,fertilized
Mango,large,vibrant,round,fertilized
Beetroot,large,neutral,round,fertilized
Garlic,medium,vibrant,oval,organic
Sapota,small,vibrant,round,fertilized
Orange,medium,irregular,round,fertilized
Apple,medium,vibrant,oval,organic
Beetroot,large,neutral,oval,fertilized
Ivy gourd,large,dull,oval,organic
Orange,medium,neutral,oval,organic
Grapes,medium,dull,round,organic
Ivy gourd,small,vibrant,irregular,organic
Carrot,large,vibrant,round,fertilized
Pomegranate,medium,neutral,elongated,organic
Pomegranate,medium,neutral,oval,organic
Brinjal,medium,dull,irregular,organic
Carrot,large,irregular,round,fertilized
Garlic,large,neutral,oval,fertilized
Grapes,small,vibrant,oval,organic
Carrot,medium,neutral,oval,organic
Sapota,large,vibrant,round,fertilized
Sapota,medium,dull,round,fertilized
Ivy gourd,medium,vibrant,round,fertilized
Onion,medium,irregular,oval,organic
Pomegranate,medium,dull,oval,organic
Beetroot,large,irregular,oval,organic
Banana,medium,vibrant,oval,fertilized
Garlic,large,vibrant,round,fertilized
Banana,small,irregular,round,organic
Mango,medium,neutral,oval,organic
Banana,medium,dull,elongated,organic
Garlic,medium,vibrant,irregular,fertilized
Grapes,medium,dull,irregular,organic
Pomegranate,medium,vibrant,irregular,organic
Banana,small,dull,round,organic
Mango,small,neutral,oval,organic
Ivy gourd,large,vibrant,round,fertilized
Grapes,small,vibrant,elongated,organic
Garlic,large,neutral,oval,fertilized
Orange,large,vibrant,oval,fertilized
Papaya,large,neutral,oval,fertilized
Grapes,medium,dull,round,organic
Orange,small,vibrant,oval,organic
Ivy gourd,small,dull,elongated,organic
Carrot,medium,irregular,irregular,fertilized
Garlic,medium,vibrant,round,fertilized
Beetroot,small,neutral,oval,organic
Banana,medium,dull,round,organic
Grapes,small,dull,oval,organic
Papaya,small,neutral,oval,organic
Garlic,medium,vibrant,round,fertilized
Sapota,medium,dull,oval,organic
Ivy gourd,medium,neutral,irregular,organic
Grapes,medium,dull,irregular,organic
Papaya,large,vibrant,oval,fertilized
Grapes,small,neutral,oval,organic
Brinjal,medium,dull,oval,organic
Grapes,medium,vibrant,round,fertilized
Brinjal,medium,dull,oval,organic
Papaya,medium,dull,oval,fertilized
Pomegranate,large,irregular,irregular,fertilized
Guava,small,dull,irregular,organic
Apple,large,vibrant,elongated,fertilized
Garlic,medium,dull,oval,organic
Carrot,large,vibrant,round,fertilized
Garlic,medium,neutral,irregular,organic
Onion,medium,neutral,irregular,organic
Mango,large,neutral,irregular,organic
Brinjal,large,irregular,round,fertilized
Onion,medium,vibrant,round,fertilized
Carrot,small,dull,irregular,organic
Guava,small,dull,oval,organic
Orange,medium,dull,irregular,organic
Apple,medium,dull,oval,organic
Carrot,small,vibrant,oval,organic
Pomegranate,large,dull,oval,fertilized
Mango,medium,irregular,elongated,fertilized
Orange,large,neutral,oval,fertilized
Carrot,small,vibrant,irregular,organic
Brinjal,medium,neutral,oval,organic
Grapes,large,vibrant,oval,fertilized
Beetroot,medium,dull,oval,organic
Mango,small,neutral,round,organic
Banana,medium,dull,irregular,organic
Apple,medium,irregular,round,fertilized
Ivy gourd,large,dull,round,fertilized
Guava,small,vibrant,irregular,fertilized
Pomegranate,small,neutral,oval,organic
Papaya,small,neutral,irregular,organic
Ivy gourd,large,irregular,oval,fertilized
Ivy gourd,medium,dull,round,organic
Mango,large,dull,oval,organic
Guava,large,vibrant,round,fertilized
Papaya,small,irregular,oval,fertilized
Ivy gourd,small,neutral,elongated,organic
Ivy gourd,medium,dull,elongated,organic
Papaya,medium,dull,round,organic
Papaya,medium,neutral,oval,organic
Garlic,small,dull,oval,organic
Beetroot,large,vibrant,elongated,fertilized
Ivy gourd,medium,neutral,oval,organic
Sapota,large,vibrant,oval,fertilized
Brinjal,medium,vibrant,oval,fertilized
Mango,medium,vibrant,oval,fertilized
Apple,large,vibrant,round,fertilized
Banana,large,vibrant,oval,fertilized
Garlic,medium,irregular,round,fertilized
Orange,large,vibrant,round,fertilized
Brinjal,medium,dull,irregular,organic
Garlic,large,vibrant,oval,fertilized
Beetroot,small,vibrant,oval,fertilized
Pomegranate,large,vibrant,oval,fertilized
Papaya,medium,vibrant,round,organic
Pomegranate,large,neutral,oval,fertilized
Beetroot,small,irregular,irregular,organic
Apple,small,vibrant,round,fertilized
Papaya,small,dull,elongated,organic
Orange,medium,vibrant,oval,organic
Garlic,small,neutral,oval,organic
Orange,large,vibrant,round,fertilized
Mango,small,dull,oval,organic
Sapota,medium,vibrant,elongated,fertilized
Ivy gourd,small,neutral,elongated,organic
Apple,medium,irregular,oval,organic
Brinjal,small,dull,round,organic
Garlic,large,vibrant,oval,fertilized
Apple,small,vibrant,round,fertilized
Onion,large,irregular,oval,fertilized
Apple,medium,dull,irregular,organic
Ivy gourd,large,neutral,irregular,organic
Mango,medium,vibrant,oval,organic
Ivy gourd,small,neutral,irregular,organic
Apple,small,dull,oval,organic
Apple,medium,dull,elongated,organic
Banana,medium,irregular,elongated,organic
Grapes,small,vibrant,round,fertilized
Grapes,medium,dull,round,organic
Onion,large,vibrant,round,fertilized
Garlic,large,neutral,round,fertilized
Garlic,medium,neutral,irregular,organic
Apple,medium,dull,elongated,organic
Garlic,medium,dull,irregular,organic
Mango,small,dull,elongated,organic
Onion,small,neutral,oval,organic
Ivy gourd,small,vibrant,round,organic
Onion,large,neutral,oval,organic
Guava,medium,dull,oval,organic
Banana,medium,vibrant,round,fertilized
Papaya,medium,vibrant,oval,organic
Mango,large,vibrant,oval,fertilized
Beetroot,medium,dull,round,organic
Ivy gourd,large,vibrant,round,fertilized
Guava,medium,neutral,elongated,organic
Guava,large,neutral,round,fertilized
Sapota,small,vibrant,irregular,fertilized
Garlic,small,vibrant,elongated,fertilized
Carrot,medium,dull,irregular,organic
Garlic,small,vibrant,oval,fertilized
Carrot,medium,vibrant,oval,fertilized
Carrot,large,vibrant,irregular,fertilized
Carrot,medium,dull,oval,organic
Papaya,medium,vibrant,round,organic
Beetroot,medium,dull,elongated,organic
Garlic,large,vibrant,oval,fertilized
Onion,medium,neutral,round,organic
Grapes,small,dull,irregular,organic
Guava,large,dull,round,organic
Sapota,large,vibrant,oval,fertilized
Sapota,medium,neutral,oval,organic
Guava,medium,dull,oval,organic
Papaya,medium,dull,round,organic
Orange,large,neutral,oval,fertilized
Onion,medium,dull,elongated,organic
Mango,large,irregular,round,organic
Carrot,small,dull,round,organic
Beetroot,small,dull,elongated,organic
Grapes,medium,dull,oval,fertilized
Grapes,medium,vibrant,oval,fertilized
Beetroot,large,vibrant,oval,fertilized
Brinjal,small,dull,oval,organic
Guava,medium,vibrant,irregular,organic
Papaya,large,vibrant,irregular,organic
Garlic,large,vibrant,round,fertilized
Ivy gourd,large,dull,oval,fertilized
Ivy gourd,medium,neutral,oval,organic
Onion,medium,dull,round,organic
Pomegranate,small,neutral,oval,organic
Sapota,small,dull,oval,organic
Carrot,medium,dull,oval,organic
Papaya,large,dull,round,organic
Brinjal,large,vibrant,irregular,organic
Mango,large,vibrant,round,fertilized
Guava,large,vibrant,oval,fertilized
Brinjal,large,vibrant,oval,fertilized
Banana,large,vibrant,round,fertilized
Garlic,large,vibrant,oval,fertilized
Orange,small,dull,elongated,organic
Sapota,medium,dull,round,organic
Beetroot,large,dull,irregular,organic
Grapes,small,dull,oval,organic
Pomegranate,medium,vibrant,round,fertilized
Ivy gourd,large,irregular,oval,fertilized
Pomegranate,medium,vibrant,irregular,fertilized
Papaya,large,vibrant,elongated,fertilized
Mango,small,neutral,oval,organic
Ivy gourd,large,neutral,round,organic
Brinjal,small,dull,round,organic
Papaya,medium,dull,elongated,organic
Brinjal,medium,neutral,irregular,organic
Apple,medium,dull,irregular,organic
Carrot,small,dull,oval,organic
Carrot,large,vibrant,round,fertilized
Orange,large,vibrant,round,fertilized
Sapota,small,vibrant,round,fertilized
Onion,large,vibrant,oval,fertilized
Papaya,medium,dull,oval,organic
Garlic,large,dull,round,fertilized
Ivy gourd,medium,vibrant,round,fertilized
Sapota,large,vibrant,irregular,organic
Carrot,medium,neutral,round,organic
Papaya,large,neutral,elongated,organic
Onion,medium,dull,irregular,organic
Sapota,medium,vibrant,oval,fertilized
Sapota,medium,vibrant,round,fertilized
Banana,large,vibrant,round,fertilized
Banana,medium,neutral,oval,organic
Sapota,small,neutral,oval,fertilized
Brinjal,large,vibrant,irregular,fertilized
Orange,medium,vibrant,irregular,fertilized
Beetroot,small,neutral,round,organic
Mango,large,vibrant,round,fertilized
Beetroot,small,vibrant,round,organic
Beetroot,medium,neutral,round,fertilized
Onion,medium,vibrant,round,fertilized
Brinjal,medium,neutral,round,organic
Mango,large,irregular,oval,fertilized
Carrot,large,dull,round,fertilized
Brinjal,large,vibrant,irregular,fertilized
Orange,medium,vibrant,oval,fertilized
Orange,large,neutral,irregular,organic
Brinjal,medium,neutral,round,organic
Ivy gourd,large,irregular,elongated,fertilized
Papaya,medium,neutral,elongated,fertilized
Carrot,small,irregular,round,fertilized
Brinjal,medium,vibrant,elongated,fertilized
Brinjal,large,vibrant,elongated,fertilized
Garlic,medium,dull,elongated,organic
Apple,small,dull,round,organic
Onion,medium,dull,irregular,organic
Ivy gourd,small,irregular,oval,organic
Beetroot,small,vibrant,elongated,fertilized
Orange,large,dull,elongated,fertilized
Orange,large,vibrant,round,fertilized
Banana,medium,vibrant,oval,fertilized
Banana,large,vibrant,round,fertilized
Papaya,small,dull,elongated,organic
Onion,large,dull,elongated,fertilized
Apple,medium,vibrant,oval,organic
Banana,large,dull,irregular,organic
Pomegranate,large,vibrant,oval,fertilized
Brinjal,medium,vibrant,irregular,fertilized
Ivy gourd,large,vibrant,elongated,fertilized
Apple,medium,dull,oval,organic
Brinjal,medium,dull,round,organic
Beetroot,small,vibrant,oval,fertilized
Mango,small,neutral,round,organic
Ivy gourd,small,neutral,round,organic
Garlic,small,vibrant,round,fertilized
Sapota,medium,neutral,elongated,organic
Mango,large,vibrant,round,fertilized
Onion,large,irregular,round,fertilized
Guava,small,vibrant,round,fertilized
Apple,large,vibrant,oval,fertilized
Guava,medium,vibrant,round,fertilized
Garlic,large,vibrant,elongated,fertilized
Mango,large,irregular,round,fertilized
Guava,medium,vibrant,elongated,fertilized
Pomegranate,small,neutral,elongated,organic
Papaya,medium,vibrant,round,fertilized
Orange,large,vibrant,oval,fertilized
Guava,medium,vibrant,oval,organic
Carrot,small,dull,elongated,organic
Mango,small,dull,oval,organic
Carrot,medium,vibrant,oval,fertilized
Beetroot,medium,dull,elongated,organic
Papaya,small,neutral,irregular,organic
Grapes,small,neutral,irregular,organic
Papaya,small,vibrant,oval,fertilized
Guava,medium,dull,oval,organic
Mango,large,vibrant,oval,fertilized
Sapota,large,vibrant,oval,fertilized
Banana,medium,dull,elongated,organic
Banana,large,irregular,round,fertilized
Onion,large,irregular,irregular,fertilized
Ivy gourd,large,vibrant,round,fertilized
Papaya,medium,vibrant,round,fertilized
Beetroot,medium,dull,oval,organic
Pomegranate,large,vibrant,elongated,fertilized
Ivy gourd,small,dull,elongated,organic
Beetroot,large,irregular,irregular,fertilized
Sapota,large,vibrant,oval,fertilized
Orange,medium,neutral,oval,organic
Ivy gourd,small,dull,round,organic
Grapes,small,vibrant,oval,fertilized
Banana,medium,neutral,irregular,organic
Sapota,large,vibrant,round,fertilized
Onion,medium,neutral,oval,organic
Banana,large,vibrant,round,fertilized
Garlic,medium,vibrant,elongated,organic
Pomegranate,medium,dull,oval,organic
Pomegranate,small,neutral,elongated,organic
Guava,medium,vibrant,oval,fertilized
Mango,medium,irregular,irregular,organic
Pomegranate,medium,neutral,elongated,fertilized
Garlic,medium,dull,oval,organic
